NP_name,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total_visitors
Lake_Clark,2019,0,0,0,0,367,"3,751","5,114","5,580","2,345",0,0,0,17157
Lake_Clark,2018,0,148,222,215,452,"2,454","3,925","4,459","2,114",207,164,119,14479
Lake_Clark,2017,171,233,348,336,660,"3,992","6,336","6,764","3,148",264,258,245,22755
Lake_Clark,2016,147,203,309,298,596,"3,647","5,982","6,188","2,989",301,227,215,21102
Lake_Clark,2015,134,185,281,275,502,"3,336","5,296","5,031","2,112",263,207,196,17818
Lake_Clark,2014,131,183,279,263,494,"2,581","4,925","4,711","1,969",202,176,186,16100
Lake_Clark,2013,135,230,300,310,565,"1,980","3,023","3,492","2,003",521,216,225,13000
Lake_Clark,2012,120,205,245,280,765,"1,802","2,846","3,533","1,501",65,145,132,11639
Lake_Clark,2011,175,160,220,235,645,425,"1,642",795,161,400,150,150,5158
Lake_Clark,2010,80,120,175,165,600,"1,588","2,309","2,580","1,564",450,150,150,9931
Lake_Clark,2009,153,160,197,175,525,"1,687","2,024","2,430","1,625",450,135,150,9711
Lake_Clark,2008,140,140,185,170,244,730,"1,255","1,270","1,210","1,158",150,150,6802
Lake_Clark,2007,165,145,175,160,225,735,"1,240","1,205",974,230,150,145,5549
Lake_Clark,2006,130,145,180,175,220,895,"1,075","1,010",970,225,140,155,5320
Lake_Clark,2005,145,160,180,160,200,"1,023","1,100",990,980,220,125,125,5408
Lake_Clark,2004,210,175,180,156,200,980,900,875,710,220,125,175,4906
Lake_Clark,2003,115,150,150,120,200,960,850,750,620,220,180,190,4505
Lake_Clark,2002,175,150,150,150,250,960,775,775,420,220,150,150,4325
Lake_Clark,2001,180,180,150,150,250,954,791,787,445,210,150,150,4397
Lake_Clark,2000,210,150,150,150,250,844,884,920,"2,400",210,150,175,6493
Lake_Clark,1999,120,145,150,150,250,590,857,918,"2,400",210,190,210,6190
Lake_Clark,1998,135,135,150,165,220,"1,570","2,600","3,350","2,400",210,190,210,11335
Lake_Clark,1997,100,150,150,150,210,"1,340","2,644","3,300",404,200,250,275,9173
Lake_Clark,1996,100,125,150,100,150,"1,176","2,497","3,295","4,307",367,250,210,12727
Lake_Clark,1995,100,125,130,150,420,"1,968","2,759","3,334","2,944",315,250,203,12698
Lake_Clark,1994,80,140,150,168,252,"1,942","2,739","3,070","2,992",310,150,150,12143
Lake_Clark,1993,91,136,129,84,435,"1,667","2,197","3,502","3,029",437,297,149,12153
Lake_Clark,1992,33,25,26,14,49,"1,390","2,297","2,336","2,199",434,300,130,9233
Lake_Clark,1991,24,4,27,26,47,716,"1,236","1,088",878,40,19,28,4133
Lake_Clark,1990,311,405,319,287,279,"1,525","1,913","1,913","2,367",429,258,190,10196
Lake_Clark,1989,292,393,309,277,580,"2,600","2,613","2,585","2,802","1,364",570,494,14879
Lake_Clark,1988,439,420,504,451,582,"4,163","3,306","3,249","3,777","1,005",420,547,18863
Lake_Clark,1987,392,399,819,522,670,"2,231","3,062","3,606","2,784","1,001",415,517,16418
Lake_Clark,1986,311,240,392,138,397,"2,229","3,411","1,990","3,111",595,279,518,13611
Lake_Clark,1985,311,240,392,375,258,"1,281","2,453","3,191","3,089",595,237,279,12701
Lake_Clark,1984,222,225,367,362,347,"1,877","2,410","3,115","2,474",590,237,279,12505
Lake_Clark,1983,295,300,300,275,305,"1,661","3,369","2,970","1,981",345,227,304,12332
Lake_Clark,1982,230,204,221,170,190,"1,636","2,272","2,669","1,873",437,250,288,10440
