Fruit,Year,Month,Sales
Acadia,2019,JAN,8532
Acadia,2019,FEB,9154
Acadia,2019,MAR,20161
Acadia,2019,APR,68046
Acadia,2019,MAY,226156
Acadia,2019,JUN,490720
Acadia,2019,JUL,756439
Acadia,2019,AUG,759735
Acadia,2019,SEP,603273
Acadia,2019,OCT,436194
Acadia,2019,NOV,46011
Acadia,2019,DEC,12865
Acadia,2019,Total_visitors,3437286
Acadia,2018,JAN,"11,974"
Acadia,2018,FEB,"12,167"
Acadia,2018,MAR,"23,756"
Acadia,2018,APR,"72,858"
Acadia,2018,MAY,"249,050"
Acadia,2018,JUN,"499,163"
Acadia,2018,JUL,"759,165"
Acadia,2018,AUG,"767,219"
Acadia,2018,SEP,"600,397"
Acadia,2018,OCT,"488,204"
Acadia,2018,NOV,"40,930"
Acadia,2018,DEC,"12,692"
Acadia,2018,Total_visitors,"3,537,575"
Acadia,2017,JAN,15520
Acadia,2017,FEB,14342
Acadia,2017,MAR,20936
Acadia,2017,APR,85267
Acadia,2017,MAY,222978
Acadia,2017,JUN,476191
Acadia,2017,JUL,743529
Acadia,2017,AUG,762436
Acadia,2017,SEP,595388
Acadia,2017,OCT,507594
Acadia,2017,NOV,53006
Acadia,2017,DEC,12084
Acadia,2017,Total_visitors,3509271
Acadia,2016,JAN,17204
Acadia,2016,FEB,16530
Acadia,2016,MAR,28121
Acadia,2016,APR,94199
Acadia,2016,MAY,217147
Acadia,2016,JUN,445410
Acadia,2016,JUL,696854
Acadia,2016,AUG,735945
Acadia,2016,SEP,570434
Acadia,2016,OCT,412416
Acadia,2016,NOV,55022
Acadia,2016,DEC,14111
Acadia,2016,Total_visitors,3303393
Acadia,2015,JAN,12578
Acadia,2015,FEB,10626
Acadia,2015,MAR,18062
Acadia,2015,APR,63214
Acadia,2015,MAY,187205
Acadia,2015,JUN,359661
Acadia,2015,JUL,606597
Acadia,2015,AUG,666767
Acadia,2015,SEP,479320
Acadia,2015,OCT,344362
Acadia,2015,NOV,48912
Acadia,2015,DEC,13880
Acadia,2015,Total_visitors,2811184
Acadia,2014,JAN,10459
Acadia,2014,FEB,10258
Acadia,2014,MAR,17502
Acadia,2014,APR,57211
Acadia,2014,MAY,153013
Acadia,2014,JUN,338845
Acadia,2014,JUL,561073
