UNIT_CODE,UNIT_NAME,UNIT_TYPE,state,nps_page,wiki_page,establish,parkSQmile,stateSQmile,parkSQkm,stateSQkm,elev_hi,elev_lo,relief
,USA,National Park,nation,0,0,0,81887.86627,3805943.341,212088.6,"9,857,348",20310,-279,20589
ACAD,Acadia,National Park,Maine,https://www.nps.gov/acad/index.htm,https://en.wikipedia.org/wiki/Acadia_National_Park,2/26/1919,76.6798887,35384.71843,198.6,91646,1530,0,1530
ARCH,Arches,National Park,Utah,https://www.nps.gov/arch/index.htm,https://en.wikipedia.org/wiki/Arches_National_Park,11/12/1971,119.8074998,84898.84535,310.3,219887,5653,3960,1693
BADL,Badlands,National Park,South Dakota,https://www.nps.gov/badl/index.htm,https://en.wikipedia.org/wiki/Badlands_National_Park,11/10/1978,379.3067606,77115.79803,982.4,199729,3340,2365,975
BIBE,Big Bend,National Park,Texas,https://www.nps.gov/bibe/index.htm,https://en.wikipedia.org/wiki/Big_Bend_National_Park,6/24/1944,1251.820419,268820.153,3242.2,696241,7825,1715,6110
BISC,Biscayne,National Park,Florida,https://www.nps.gov/bisc/index.htm,https://en.wikipedia.org/wiki/Biscayne_National_Park,7/28/1980,270.271511,65757.83083,700,170312,9,0,9
BLCA,Black Canyon of the Gunnison,National Park,Colorado,https://www.nps.gov/blca/index.htm,https://en.wikipedia.org/wiki/Black_Canyon_of_the_Gunnison_National_Park,10/21/1999,48.10832896,104184.6482,124.6,269837,9040,5440,3600
BRCA,Bryce Canyon,National Park,Utah,https://www.nps.gov/brca/index.htm,https://en.wikipedia.org/wiki/Bryce_Canyon_National_Park,2/25/1928,55.984813,84898.84535,145,219887,9115,6565,2550
CANY,Canyonlands,National Park,Utah,https://www.nps.gov/cany/index.htm,https://en.wikipedia.org/wiki/Canyonlands_National_Park,8/12/1964,527.4927691,84898.84535,1366.2,219887,7120,3730,3390
CARE,Capitol Reef,National Park,Utah,https://www.nps.gov/care/index.htm,https://en.wikipedia.org/wiki/Capitol_Reef_National_Park,12/18/1971,377.9940133,84898.84535,979,219887,8960,3877,5083
CAVE,Carlsbad Caverns,National Park,New Mexico,https://www.nps.gov/cave/index.htm,https://en.wikipedia.org/wiki/Carlsbad_Caverns_National_Park,5/14/1930,73.08913862,121590.1335,189.3,314917,6535,3596,2939
CHIS,Channel Islands,National Park,California,https://www.nps.gov/chis/index.htm,https://en.wikipedia.org/wiki/Channel_Islands_National_Park,3/5/1980,389.92457,163695.7322,1009.9,423970,1812,0,1812
COSW,Congaree,National Park,South Carolina,https://www.nps.gov/cong/index.htm,https://en.wikipedia.org/wiki/Congaree_National_Park,11/10/2003,41.35154119,32020.22422,107.1,82932,140,80,60
CRLA,Crater Lake,National Park,Oregon,https://www.nps.gov/crla/index.htm,https://en.wikipedia.org/wiki/Crater_Lake_National_Park,5/22/1902,286.2947506,98381.14662,741.5,254806,8929,3990,4939
CUVA,Cuyahoga Valley,National Park,Ohio,https://www.nps.gov/cuva/index.htm,https://en.wikipedia.org/wiki/Cuyahoga_Valley_National_Park,10/11/2000,50.8882645,44824.9162,131.8,116096,1164,590,574
DEVA,Death Valley,National Park,California and Nevada,https://www.nps.gov/deva/index.htm,https://en.wikipedia.org/wiki/Death_Valley_National_Park,10/31/1994,5325.622904,0,13793.3,,11049,-279,11328
DENA,Denali,National Park and Preserve,Alaska,https://www.nps.gov/dena/index.htm,https://en.wikipedia.org/wiki/Denali_National_Park_and_Preserve,2/26/1917,7407.678794,663267.9098,19185.8,1717856,20310,240,20070
DRTO,Dry Tortugas,National Park,Florida,https://www.nps.gov/drto/index.htm,https://en.wikipedia.org/wiki/Dry_Tortugas_National_Park,10/26/1992,101.0815451,65757.83083,261.8,170312,10,0,10
EVER,Everglades,National Park,Florida,https://www.nps.gov/ever/index.htm,https://en.wikipedia.org/wiki/Everglades_National_Park,5/30/1934,2357.732831,65757.83083,6106.5,170312,20,0,20
GAAR,Gates of the Arctic,National Park,Alaska,https://www.nps.gov/gaar/index.htm,https://en.wikipedia.org/wiki/Gates_of_the_Arctic_National_Park_and_Preserve,12/2/1980,11756.07714,663267.9098,30448.1,1717856,8276,280,7996
20,Gateway Arch,National Park,Missouri,https://www.nps.gov/jeff/index.htm,https://en.wikipedia.org/wiki/Gateway_Arch_National_Park,2/22/2018,0.308881727,69714.60576,0.8,180560,446,1076,630
GLBA,Glacier Bay,National Park,Alaska,https://www.nps.gov/glba/index.htm,https://en.wikipedia.org/wiki/Glacier_Bay_National_Park_and_Preserve,12/2/1980,1583.01885,663267.9098,4100,1717856,15300,0,15300
GLAC,Glacier,National Park,Montana,https://www.nps.gov/glac/index.htm,https://en.wikipedia.org/wiki/Glacier_National_Park_(U.S.),5/11/1910,5036.548218,147027.702,13044.6,380800,10466,3150,7316
GRCA,Grand Canyon,National Park,Arizona,https://www.nps.gov/grca/index.htm,https://en.wikipedia.org/wiki/Grand_Canyon_National_Park,2/26/1919,1877.576187,113990.4847,4862.9,295234,9165,1173,7992
GRTE,Grand Teton,National Park,Wyoming,https://www.nps.gov/grte/index.htm,https://en.wikipedia.org/wiki/Grand_Teton_National_Park,2/26/1929,484.4423784,97915.50742,1254.7,253600,13770,6310,7460
GRBA,Great Basin,National Park,Nevada,https://www.nps.gov/grba/index.htm,https://en.wikipedia.org/wiki/Great_Basin_National_Park,10/27/1986,120.5797041,110572.7084,312.3,286382,13065,6195,6870
GRSA,Great Sand Dunes,National Park,Colorado,https://www.nps.gov/grsa/index.htm,https://en.wikipedia.org/wiki/Great_Sand_Dunes_National_Park_and_Preserve,9/13/2004,167.7227777,104184.6482,434.4,269837,13610,7520,6090
GRSM,Great Smoky Mountains,National Park,North Carolina and Tennessee,https://www.nps.gov/grsm/index.htm,https://en.wikipedia.org/wiki/Great_Smoky_Mountains_National_Park,6/15/1934,816.2971837,0,2114.2,,6643,874,5769
GUMO,Guadalupe Mountains,National Park,Texas,https://www.nps.gov/gumo/index.htm,https://en.wikipedia.org/wiki/Guadalupe_Mountains_National_Park,10/15/1966,134.9427044,268820.153,349.5,696241,8749,3636,5113
