NP,Name,state,nps_page,wiki_page,establish,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Average,parkSQkm,stateSQkm,elev_hi,elev_lo,relief
0,USA,nation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212088.6,"9,857,348",20310,-279,20589
1,Acadia National Park,Maine,https://www.nps.gov/acad/index.htm,https://en.wikipedia.org/wiki/Acadia_National_Park,2/26/1919,2504208,2374645,2431052,2254922,2563129,2811184,3303393,3509271,3537575,3437286,2872666.5,198.6,91646,1530,0,1530
2,Arches National Park,Utah,https://www.nps.gov/arch/index.htm,https://en.wikipedia.org/wiki/Arches_National_Park,11/12/1971,1014405,1040758,1070577,1082866,1284767,1399247,1585718,1539028,1663557,1659702,1334062.5,310.3,219887,5653,3960,1693
3,Badlands National Park,South Dakota,https://www.nps.gov/badl/index.htm,https://en.wikipedia.org/wiki/Badlands_National_Park,11/10/1978,977778,870741,883406,892372,868094,989354,996263,1054325,1008942,970998,951227.3,982.4,199729,3340,2365,975
4,Big Bend National Park,Texas,https://www.nps.gov/bibe/index.htm,https://en.wikipedia.org/wiki/Big_Bend_National_Park,6/24/1944,372330,361862,292055,316953,314102,381747,388290,440276,440091,463832,377153.8,3242.2,696241,7825,1715,6110
5,Biscayne National Park,Florida,https://www.nps.gov/bisc/index.htm,https://en.wikipedia.org/wiki/Biscayne_National_Park,7/28/1980,467612,476077,495613,486848,525745,508164,514709,446961,469253,708522,509950.4,700,170312,9,0,9
6,Black Canyon of the Gunnison National Park,Colorado,https://www.nps.gov/blca/index.htm,https://en.wikipedia.org/wiki/Black_Canyon_of_the_Gunnison_National_Park,10/21/1999,176344,168336,192570,175852,183045,209166,238018,307143,308962,432818,239225.4,124.6,269837,9040,5440,3600
7,Bryce Canyon National Park,Utah,https://www.nps.gov/brca/index.htm,https://en.wikipedia.org/wiki/Bryce_Canyon_National_Park,2/25/1928,1285492,1296000,1385352,1311875,1435741,1745804,2365110,2571684,2679478,2594904,1867144,145,219887,9115,6565,2550
8,Canyonlands National Park,Utah,https://www.nps.gov/cany/index.htm,https://en.wikipedia.org/wiki/Canyonlands_National_Park,8/12/1964,435908,473773,452952,462242,542431,634607,776218,742271,739449,733996,599384.7,1366.2,219887,7120,3730,3390
9,Capitol Reef National Park,Utah,https://www.nps.gov/care/index.htm,https://en.wikipedia.org/wiki/Capitol_Reef_National_Park,12/18/1971,662661,668834,673345,663670,786514,941029,1064904,1150165,1227627,1226519,906526.8,979,219887,8960,3877,5083
10,Carlsbad Caverns National Park,New Mexico,https://www.nps.gov/cave/index.htm,https://en.wikipedia.org/wiki/Carlsbad_Caverns_National_Park,5/14/1930,428524,365000,381058,388566,397309,445720,466773,520026,465912,440691,429957.9,189.3,314917,6535,3596,2939
11,Channel Islands National Park,California,https://www.nps.gov/chis/index.htm,https://en.wikipedia.org/wiki/Channel_Islands_National_Park,3/5/1980,277515,242756,249594,212029,342161,324816,364807,383687,366250,409630,317324.5,1009.9,423970,1812,0,1812
12,Congaree National Park,South Carolina,https://www.nps.gov/cong/index.htm,https://en.wikipedia.org/wiki/Congaree_National_Park,11/10/2003,121208,120166,109685,120340,120122,87513,143843,159595,145929,159445,128784.6,107.1,82932,140,80,60
13,Crater Lake National Park,Oregon,https://www.nps.gov/crla/index.htm,https://en.wikipedia.org/wiki/Crater_Lake_National_Park,5/22/1902,448319,423551,447251,523027,535508,614712,756344,711749,720659,704512,588563.2,741.5,254806,8929,3990,4939
14,Cuyahoga Valley National Park,Ohio,https://www.nps.gov/cuva/index.htm,https://en.wikipedia.org/wiki/Cuyahoga_Valley_National_Park,10/11/2000,2492670,2161185,2299722,2103010,2189849,2284612,2423390,2226879,2096053,2237997,2251536.7,131.8,116096,1164,590,574
15,Death Valley National Park,California and Nevada,https://www.nps.gov/deva/index.htm,https://en.wikipedia.org/wiki/Death_Valley_National_Park,10/31/1994,984775,946867,984568,951972,1101312,1154843,1296283,1294827,1678660,1740945,1213505.2,13793.3,,11049,-279,11328
16,Denali National Park and Preserve,Alaska,https://www.nps.gov/dena/index.htm,https://en.wikipedia.org/wiki/Denali_National_Park_and_Preserve,2/26/1917,378855,406582,388433,530922,531315,560757,587412,642809,594660,601152,522289.7,19185.8,1717856,20310,240,20070
17,Dry Tortugas National Park,Florida,https://www.nps.gov/drto/index.htm,https://en.wikipedia.org/wiki/Dry_Tortugas_National_Park,10/26/1992,53890,75171,60550,58401,64865,70862,73661,54281,56810,79200,64769.1,261.8,170312,10,0,10
18,Everglades National Park,Florida,https://www.nps.gov/ever/index.htm,https://en.wikipedia.org/wiki/Everglades_National_Park,5/30/1934,915538,934351,1141906,1047116,1110901,1077427,930907,1018557,597124,1118300,989212.7,6106.5,170312,20,0,20
19,Gates of the Arctic National Park and Preserve,Alaska,https://www.nps.gov/gaar/index.htm,https://en.wikipedia.org/wiki/Gates_of_the_Arctic_National_Park_and_Preserve,12/2/1980,10840,11623,10899,11012,12669,10745,10047,11177,9591,10518,10912.1,30448.1,1717856,8276,280,7996
20,Gateway Arch National Park,Missouri,https://www.nps.gov/jeff/index.htm,https://en.wikipedia.org/wiki/Gateway_Arch_National_Park,2/22/2018,2436110,2259020,2496726,2377258,1817091,1698656,1271855,1398188,2016180,2055309,1982639.3,0.8,180560,446,1076,630
