NP_name,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total_visitors
Lassen_Volcanic,2019,"8,646","6,561","7,944","12,477","25,170","63,803","105,535","98,109","75,502","88,428","12,879","11,985","517,039"
Lassen_Volcanic,2018,"10,263","7,194","7,773","21,216","34,144","75,220","114,368","91,422","75,514","45,236","9,480","7,605","499,435"
Lassen_Volcanic,2017,"9,231","7,203","7,002","10,518","31,173","58,880","122,834","111,514","88,592","40,581","10,335","9,393","507,256"
Lassen_Volcanic,2016,"9,627","8,730","8,967","12,294","29,355","74,193","120,958","105,114","88,631","64,396","8,373","5,430","536,068"
Lassen_Volcanic,2015,"9,084","7,212","8,262","10,980","31,023","63,211","106,868","106,166","70,956","37,395","8,829","8,106","468,092"
Lassen_Volcanic,2014,"5,787","5,835","8,472","8,434","29,121","66,774","98,926","93,162","62,349","33,405","10,392","10,320","432,977"
Lassen_Volcanic,2013,"14,298","7,611","5,847","9,906","26,468","67,368","102,986","104,876","64,968","7,086","11,246","4,749","427,409"
Lassen_Volcanic,2012,"6,702","5,970","1,758","9,867","28,548","56,793","98,098","91,293","59,874","35,415","6,531","6,804","407,653"
Lassen_Volcanic,2011,"7,518","4,644","7,119","6,402","20,024","44,712","83,008","70,924","68,174","27,290","5,949","5,505","351,269"
Lassen_Volcanic,2010,"8,364","4,842","7,146","7,428","18,154","50,934","90,517","74,012","63,200","45,603","7,908","6,462","384,570"
Lassen_Volcanic,2009,"6,390","7,149","6,555","6,492","21,683","54,537","82,833","81,082","57,226","24,094","9,087","8,511","365,639"
Lassen_Volcanic,2008,"6,303","5,568","6,996","7,722","22,446","54,644","84,863","85,597","60,012","27,025","8,610","7,575","377,361"
Lassen_Volcanic,2007,"6,489","5,127","7,026","8,826","28,153","58,337","91,548","92,588","55,086","25,758","9,555","6,564","395,057"
Lassen_Volcanic,2006,"6,795","6,231","6,289","7,186","20,568","43,326","95,757","85,089","69,602","34,044","7,857","5,997","388,741"
Lassen_Volcanic,2005,"7,207","5,946","7,146","7,620","21,294","49,790","90,440","81,669","53,655","27,263","7,955","5,550","365,535"
Lassen_Volcanic,2004,"7,318","4,934","7,612","9,552","24,648","54,481","88,936","83,013","57,542","27,231","7,881","6,519","379,667"
Lassen_Volcanic,2003,"8,046","7,068","7,294","8,403","19,656","49,339","94,453","91,650","72,273","31,890","7,748","6,564","404,384"
