Name,Year,Visitors
Acadia,2019,3437286
Acadia,2018,3537575
Acadia,2017,3509271
Acadia,2016,3303393
Acadia,2015,2811184
Acadia,2014,2563129
Acadia,2013,2254922
Acadia,2012,2431052
Acadia,2011,2374645
Acadia,2010,2504208
Acadia,2009,2227698
Acadia,2008,2075857
Acadia,2007,2202228
Acadia,2006,2083588
Acadia,2005,2051484
Acadia,2004,2207847
Acadia,2003,2431062
Acadia,2002,2558572
Acadia,2001,2516551
Acadia,2000,2469238
Acadia,1999,2602227
Acadia,1998,2594497
Acadia,1997,2760306
Acadia,1996,2704831
Acadia,1995,2845378
Acadia,1994,2710749
Acadia,1993,2656034
Acadia,1992,2382113
Acadia,1991,2475857
Acadia,1990,2339591
Acadia,1989,5440952
Acadia,1988,4502283
Acadia,1987,4288154
Acadia,1986,3929054
Acadia,1985,3745570
Acadia,1984,3734763
Acadia,1983,4124639
Acadia,1982,3572114
Acadia,1981,2997972
Acadia,1980,2779666
Acadia,1979,2787366
Arches,2019,102397
Arches,2018,103044
Arches,2017,113960
Arches,2016,303139
Arches,2015,412640
Arches,2014,278776
Arches,2013,317660
Arches,2012,320668
Arches,2011,258917
Arches,2010,216220
Arches,2009,185443
Arches,2008,178748
Arches,2007,149255
Arches,2006,145804
Arches,2005,136827
Arches,2004,152453
Arches,2003,155031
Arches,2002,177219
Arches,2001,190422
Arches,2000,196363
Arches,1999,198665
Arches,1998,201874
Arches,1997,204862
Arches,1996,205938
Arches,1995,223288
Arches,1994,273768
Arches,1993,211557
Arches,1992,311921
Arches,1991,321668
Arches,1990,402947
Arches,1989,377440
Arches,1988,312693
Arches,1987,336075
Arches,1986,323784
Arches,1985,277613
Arches,1984,318027
Arches,1983,246277
Arches,1982,240405
Arches,1981,244968
Arches,1980,218724
Arches,1979,208411
Badlands,2019,970998
Badlands,2018,1008942
Badlands,2017,1054325
Badlands,2016,996263
Badlands,2015,989354
Badlands,2014,868094
Badlands,2013,892372
Badlands,2012,883406
Badlands,2011,870741
Badlands,2010,977778
Badlands,2009,933918
Badlands,2008,845734
Badlands,2007,886654
Badlands,2006,840118
Badlands,2005,909146
Badlands,2004,936030
Badlands,2003,871034
Badlands,2002,908898
Badlands,2001,955469
Badlands,2000,1105824
Badlands,1999,950453
Badlands,1998,1021049
Badlands,1997,970696
Badlands,1996,1024705
Badlands,1995,1075569
Badlands,1994,1130459
Badlands,1993,1179458
Badlands,1992,1205297
Badlands,1991,1518396
Badlands,1990,1326475
Badlands,1989,1237956
Badlands,1988,1110040
Badlands,1987,1174398
Badlands,1986,1025630
Badlands,1985,950242
Badlands,1984,1113675
Badlands,1983,1026981
Badlands,1982,1030484
Badlands,1981,1175952
Badlands,1980,952652
Badlands,1979,858000
Big_Bend,2019,463832
Big_Bend,2018,440091
